Jour,Heure,Seconde,Centième,Vitesse,Type,Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
15/10/22,15:10,8,75,48,VL,1,258,,,,,
15/10/22,15:11,36,80,49,VL,1,258,,,,,
15/10/22,15:11,52,82,27,Moto,13,115,,,,,
15/10/22,15:11,54,93,26,VL,1,283,,,,,
15/10/22,15:11,57,19,24,VL,1,231,,,,,
15/10/22,15:11,58,85,25,VL,1,244,,,,,
15/10/22,15:12,0,79,25,VL,1,256,,,,,
15/10/22,15:12,3,55,23,VL,1,256,,,,,
15/10/22,15:12,5,51,24,VL,1,242,,,,,
15/10/22,15:13,16,56,42,VL,1,308,,,,,
15/10/22,15:13,17,97,40,VL,1,255,,,,,
15/10/22,15:13,23,19,49,VL,1,271,,,,,
15/10/22,15:13,24,95,48,VL,1,257,,,,,
15/10/22,15:13,27,90,45,VL,1,296,,,,,
15/10/22,15:13,29,39,44,VL,1,258,,,,,
15/10/22,15:13,32,70,42,VL,1,282,,,,,
15/10/22,15:13,48,71,53,VL,1,229,,,,,
15/10/22,15:14,3,18,38,VL,1,257,,,,,
15/10/22,15:14,34,14,50,VL,1,244,,,,,
15/10/22,15:14,37,62,47,VL,1,229,,,,,
15/10/22,15:15,2,78,42,VL,1,244,,,,,
15/10/22,15:15,7,51,44,VL,1,244,,,,,
15/10/22,15:15,27,54,46,VL,1,269,,,,,
15/10/22,15:15,29,73,47,VL,1,257,,,,,
15/10/22,15:16,10,8,55,VL,1,245,,,,,
15/10/22,15:16,11,76,51,VL,1,244,,,,,
15/10/22,15:16,14,23,46,VL,1,230,,,,,
15/10/22,15:16,18,97,45,VL,1,244,,,,,
15/10/22,15:16,21,29,46,VL,1,243,,,,,
15/10/22,15:16,26,74,47,VL,1,246,,,,,
15/10/22,15:17,24,44,61,VL,1,246,,,,,
15/10/22,15:17,33,9,45,VL,1,271,,,,,
15/10/22,15:17,36,74,43,VL,1,271,,,,,
15/10/22,15:17,59,58,52,VL,1,255,,,,,
15/10/22,15:19,24,4,55,VL,1,259,,,,,
