SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
1,3,1700,573,V=041,S=0870,VL
1,3,1700,740,V=041,S=0680,VL
1,3,1700,1250,V=035,S=0547,VL
1,3,1700,1528,V=033,S=0517,VL
1,3,1700,1813,V=031,S=0536,VL
1,3,1700,1977,V=030,S=0489,VL
1,3,1700,2259,V=030,S=0531,VL
1,3,1700,3972,V=021,S=0414,VL
1,3,1700,4301,V=023,S=0463,VL
1,3,1700,4528,V=024,S=0563,VL
1,3,1701,532,V=038,S=0632,VL
1,3,1701,760,V=036,S=0496,VL
1,3,1701,1181,V=052,S=0552,VL
1,3,1701,3026,V=050,S=0531,VL
1,3,1701,4496,V=048,S=0546,VL
1,3,1701,4832,V=045,S=0570,VL
1,3,1701,5293,V=047,S=0495,VL
1,3,1701,5598,V=048,S=0615,VL
1,3,1702,34,V=042,S=0614,VL
1,3,1702,391,V=040,S=0548,VL
1,3,1702,2211,V=040,S=0482,VL
1,3,1702,3147,V=024,S=0711,VL
1,3,1702,3319,V=024,S=0495,VL
1,3,1702,3580,V=026,S=0568,VL
1,3,1702,5091,V=047,S=0526,VL
1,3,1703,182,V=036,S=2156,PL/Bus
1,3,1703,406,V=036,S=0623,VL
1,3,1703,1638,V=038,S=0527,VL
1,3,1703,1832,V=040,S=0553,VL
1,3,1703,1990,V=042,S=0563,VL
1,3,1703,2157,V=041,S=0500,VL
1,3,1703,2395,V=052,S=0642,VL
1,3,1703,3326,V=041,S=0470,VL
1,3,1703,3481,V=041,S=0571,VL
1,3,1703,3755,V=039,S=0634,VL
1,3,1703,4635,V=053,S=0596,VL
1,3,1703,5314,V=051,S=0548,VL
1,3,1703,5638,V=049,S=0277,2R
1,3,1703,5963,V=040,S=0492,VL
1,3,1704,758,V=047,S=0313,2R
1,3,1704,1579,V=052,S=0613,VL
1,3,1704,3063,V=056,S=0553,VL
1,3,1704,4584,V=046,S=0311,2R
1,3,1704,5316,V=039,S=0528,VL
1,3,1704,5757,V=034,S=0543,VL
1,3,1705,403,V=042,S=0686,VL
1,3,1705,3208,V=048,S=0587,VL
1,3,1705,3498,V=042,S=0223,2R
1,3,1705,3674,V=039,S=0567,VL
1,3,1705,4528,V=044,S=0542,VL
1,3,1705,5045,V=043,S=0630,VL
1,3,1705,5327,V=037,S=0500,VL
1,3,1705,5598,V=037,S=0597,VL
1,3,1705,5719,V=043,S=0641,VL
1,3,1706,142,V=038,S=0510,VL
1,3,1706,1099,V=037,S=0335,2R
1,3,1706,2786,V=046,S=0541,VL
1,3,1706,3767,V=028,S=0581,VL
1,3,1706,3983,V=025,S=0506,VL
1,3,1706,4132,V=027,S=0519,VL
1,3,1706,4273,V=028,S=0561,VL
1,3,1706,4467,V=033,S=0504,VL
1,3,1706,4866,V=036,S=0644,VL
1,3,1707,674,V=032,S=0582,VL
1,3,1707,939,V=036,S=0574,VL
1,3,1707,3227,V=037,S=0748,VL
1,3,1707,3480,V=040,S=0559,VL
1,3,1707,3648,V=038,S=0516,VL
1,3,1707,5402,V=051,S=0537,VL
1,3,1708,70,V=035,S=0639,VL
1,3,1708,703,V=041,S=0608,VL
1,3,1708,1183,V=047,S=0633,VL
1,3,1708,1371,V=045,S=0536,VL
1,3,1708,1895,V=042,S=0568,VL
1,3,1708,2102,V=043,S=0577,VL
1,3,1708,2658,V=013,S=0253,2R
1,3,1708,3453,V=028,S=0932,PL/Bus
1,3,1708,3565,V=028,S=0246,2R
1,3,1708,4411,V=038,S=0533,VL
1,3,1708,5094,V=042,S=0563,VL
1,3,1708,5671,V=048,S=0508,VL
1,3,1708,5928,V=048,S=0677,VL
1,3,1709,975,V=043,S=0558,VL
1,3,1709,1212,V=039,S=0562,VL
1,3,1709,1430,V=042,S=0664,VL
